Date,USD_to_UAE,Price_oz_USD,Price_g_USD,Price_g_UAE
01/2000,3.673,284.32,9.141093446,33.57523623
02/2000,3.6727,299.86,9.640715675,35.40745646
03/2000,3.6729,286.39,9.207645442,33.81876094
04/2000,3.673,279.69,8.9922356,33.02848136
05/2000,3.673,275.19,8.847557349,32.49707814
06/2000,3.6729,285.73,9.186425965,33.74082393
07/2000,3.6727,281.59,9.053321973,33.25013561
08/2000,3.673,274.47,8.824408829,32.41205363
09/2000,3.6728,273.68,8.799009758,32.31700304
10/2000,3.6728,270,8.680695099,31.88245696
11/2000,3.6729,266.01,8.552413715,31.41216034
12/2000,3.673,271.45,8.727313646,32.05542302
01/2001,3.6729,265.49,8.53569534,31.35075541
02/2001,3.673,261.87,8.419309724,30.92412462
03/2001,3.6729,263.03,8.456604562,31.0602629
04/2001,3.673,260.48,8.37462022,30.75998007
05/2001,3.673,272.36,8.756570804,32.16288456
06/2001,3.6729,270.23,8.688089765,31.9104849
07/2001,3.6729,267.53,8.601282814,31.59165165
08/2001,3.673,272.39,8.757535326,32.16642725
09/2001,3.673,283.42,9.112157796,33.46895558
10/2001,3.673,283.06,9.100583536,33.42644333
11/2001,3.673,276.16,8.87874355,32.61162506
12/2001,3.6728,275.85,8.868776826,32.57324353
01/2002,3.673,281.51,9.050749916,33.24340444
02/2002,3.673,295.5,9.500538525,34.895478
03/2002,3.6732,294.06,9.454241484,34.72731982
04/2002,3.6731,302.68,9.731380713,35.7443345
05/2002,3.6729,314.49,10.11108075,37.13698847
06/2002,3.673,321.18,10.32616908,37.92801903
07/2002,3.6728,313.29,10.07249988,36.99427756
08/2002,3.6729,310.26,9.97508319,36.63748305
09/2002,3.673,319.14,10.26058161,37.68711624
10/2002,3.6729,316.56,10.17763274,37.3814273
11/2002,3.673,319.07,10.25833106,37.67884997
12/2002,3.6728,331.92,10.67146784,39.19416709
01/2003,3.6729,356.859,11.47327471,42.14019069
02/2003,3.6729,358.97,11.54114489,42.38947106
03/2003,3.6731,340.55,10.94892858,40.21650956
04/2003,3.6729,328.18,10.55122414,38.75359114
05/2003,3.6728,355.683,11.43546546,42.00017755
06/2003,3.673,356.352,11.4569743,42.08146659
07/2003,3.673,351.02,11.28554664,41.45181282
08/2003,3.6728,359.768,11.56680116,42.48254731
09/2003,3.6729,378.945,12.18335557,44.74824668
10/2003,3.6728,378.92,12.1825518,44.74407626
11/2003,3.6728,389.91,12.53588824,46.04181034
12/2003,3.673,406.953,13.08383301,48.05691864
01/2004,3.6731,413.788,13.3035832,48.86539144
02/2004,3.6732,404.878,13.01712026,47.81448614
03/2004,3.6728,406.667,13.0746379,48.02053009
04/2004,3.6731,403.26,12.96510039,47.62211024
05/2004,3.673,383.779,12.33877216,45.32031016
06/2004,3.673,392.373,12.61507547,46.33517222
07/2004,3.673,398.091,12.79891331,47.01040857
08/2004,3.673,400.51,12.8766859,47.29606732
09/2004,3.673,405.275,13.0298841,47.85876429
10/2004,3.6731,420.464,13.51822142,49.65377911
11/2004,3.6725,439.375,14.12622374,51.87855667
12/2004,3.6728,442.079,14.21315929,52.20209144
01/2005,3.6726,424.03,13.6328709,50.06808166
02/2005,3.673,423.35,13.61100841,49.99323388
03/2005,3.673,433.85,13.94859099,51.23317472
04/2005,3.6729,429.233,13.80015111,50.68657501
05/2005,3.673,421.873,13.56352179,49.81881554
06/2005,3.6729,430.657,13.84593374,50.85473002
07/2005,3.6729,424.479,13.64730657,50.12519231
08/2005,3.673,437.93,14.07976594,51.71498031
09/2005,3.6721,456.048,14.66227273,53.84133171
10/2005,3.6731,469.898,15.10756024,55.49157953
11/2005,3.673,476.666,15.32515633,56.28929921
12/2005,3.673,510.097,16.39998714,60.23715276
01/2006,3.6731,549.864,17.67852492,64.9349899
02/2006,3.6731,554.995,17.84349028,65.54092416
03/2006,3.6731,557.093,17.9109425,65.78868289
04/2006,3.6729,610.653,19.6329352,72.1098077
05/2006,3.6715,675.393,21.71437298,79.7243204
06/2006,3.6715,596.145,19.16649252,70.36977728
07/2006,3.673,633.71,20.37423441,74.83456299
08/2006,3.6728,632.593,20.33832205,74.69858924
09/2006,3.6728,598.186,19.23211214,70.63570147
10/2006,3.673,585.78,18.83325028,69.17452827
11/2006,3.673,627.827,20.18509171,74.13984185
12/2006,3.6728,629.791,20.24823573,74.36772019
01/2007,3.6728,631.166,20.29244297,74.53008455
02/2007,3.6728,664.745,21.37203209,78.49519945
03/2007,3.6719,654.895,21.05534747,77.31313037
04/2007,3.673,679.368,21.8421721,80.22629813
05/2007,3.6723,667.31,21.45449869,78.78735554
06/2007,3.6728,655.66,21.07994277,77.42241381
07/2007,3.6726,665.38,21.3924478,78.56590377
08/2007,3.673,665.411,21.39344447,78.57812153
09/2007,3.6713,712.653,22.9123089,84.11795968
10/2007,3.6721,754.604,24.26106387,89.08905263
11/2007,3.6557,806.248,25.92145578,94.76106591
12/2007,3.6725,803.203,25.82355683,94.83701247
01/2008,3.671,889.595,28.60112206,104.9947191
02/2008,3.6725,922.298,29.65254714,108.8989794
03/2008,3.6726,968.434,31.13585288,114.3495333
04/2008,3.6728,909.705,29.24767309,107.4208537
05/2008,3.6728,888.663,28.57115759,104.9361476
06/2008,3.6732,889.488,28.59768193,105.0450053
07/2008,3.6732,939.772,30.21434887,110.9833463
08/2008,3.673,839.025,26.97526002,99.08013005
09/2008,3.6732,829.932,26.6829135,98.01167786
10/2008,3.6732,806.62,25.93341585,95.25862311
11/2008,3.673,760.863,24.46229524,89.85001042
12/2008,3.673,816.092,26.2379475,96.37198116
01/2009,3.673,858.69,27.60750398,101.4023621
02/2009,3.6732,943,30.3181314,111.3645603
03/2009,3.6732,924.273,29.71604482,109.1529758
04/2009,3.673,890.2,28.62057325,105.1233655
05/2009,3.6728,928.645,29.85660778,109.657349
06/2009,3.6729,945.67,30.40397383,111.6707555
07/2009,3.673,934.228,30.03610526,110.3226146
08/2009,3.673,949.375,30.52309226,112.1113179
09/2009,3.673,996.591,32.04112077,117.6870366
10/2009,3.673,1043.159,33.53831562,123.1862333
11/2009,3.674,1127.036,36.23502178,133.12747
12/2009,3.673,1134.724,36.48219654,133.9991079
01/2010,3.6731,1117.963,35.94331828,132.0234024
02/2010,3.673,1095.413,35.21831948,129.3568875
03/2010,3.6728,1113.337,35.79458903,131.4663666
04/2010,3.673,1148.688,36.93114923,135.6481111
05/2010,3.6731,1205.434,38.75557413,142.3530993
06/2010,3.6729,1232.92,39.63926889,145.5910707
07/2010,3.6729,1192.966,38.35471892,140.8730471
08/2010,3.6727,1215.81,39.08917003,143.5627948
09/2010,3.6728,1270.977,40.86282894,150.0809981
10/2010,3.6727,1342.024,43.14704133,158.4661387
11/2010,3.673,1369.886,44.04282476,161.7692954
12/2010,3.673,1390.553,44.70728375,164.2098532
01/2011,3.673,1360.46,43.73977205,160.6561827
02/2011,3.673,1374.68,44.19695533,162.3354169
03/2011,3.6728,1423.26,45.75883743,168.0630581
04/2011,3.6731,1480.89,47.61168357,174.8824749
05/2011,3.673,1512.58,48.63053997,178.6199733
06/2011,3.673,1529.36,49.1700291,180.6015169
07/2011,3.673,1572.75,50.56504895,185.7254248
08/2011,3.6728,1759.01,56.55344254,207.7094838
09/2011,3.673,1772.14,56.97558153,209.2713109
10/2011,3.673,1666.43,53.57692864,196.7880589
11/2011,3.673,1739,55.91010658,205.3578215
12/2011,3.6729,1639.97,52.72622052,193.6581354
01/2012,3.6731,1654.05,53.1789027,195.3314275
02/2012,3.673,1744.82,56.09722379,206.045103
03/2012,3.673,1675.95,53.88300352,197.9122719
04/2012,3.673,1649.2,53.02297169,194.753375
05/2012,3.673,1589.04,51.08878422,187.6491044
06/2012,3.6729,1598.76,51.40128924,188.7917953
07/2012,3.673,1594.29,51.25757551,188.2690749
08/2012,3.673,1630.31,52.41564454,192.5226624
09/2012,3.673,1744.81,56.09690228,206.0439221
10/2012,3.673,1746.58,56.15380906,206.2529407
11/2012,3.673,1721.64,55.35197004,203.3077859
12/2012,3.6731,1684.762,54.16631569,198.9582942
01/2013,3.6729,1671.848,53.75112126,197.4224933
02/2013,3.6729,1627.57,52.32755156,192.1938641
03/2013,3.6729,1593.086,51.21886604,188.1217731
04/2013,3.6729,1487.857,47.83567766,175.6956605
05/2013,3.6729,1414.027,45.46198981,166.9773424
06/2013,3.6729,1343.35,43.18967319,158.6313507
07/2013,3.6729,1285.516,41.3302683,151.8019424
08/2013,3.6728,1351.742,43.45948205,159.6179857
09/2013,3.6729,1348.6,43.35846448,159.2513042
10/2013,3.6728,1316.58,42.32899834,155.4659451
11/2013,3.6728,1275.86,41.01982092,150.6575983
12/2013,3.6729,1221.512,39.27249345,144.2439412
01/2014,3.6728,1244.27,40.00417959,146.9273508
02/2014,3.6728,1299.58,41.78243606,153.4585312
03/2014,3.6729,1336.08,42.95593743,157.7728626
04/2014,3.6729,1298.45,41.74610574,153.3292718
05/2014,3.6725,1288.74,41.43392223,152.1660794
06/2014,3.6727,1279.1,41.12398926,151.0360754
07/2014,3.673,1310.59,42.13641552,154.7670542
08/2014,3.6729,1295.13,41.63936534,152.937225
09/2014,3.6726,1236.55,39.75597602,146.0077975
10/2014,3.6729,1222.49,39.30393686,144.3594297
11/2014,3.673,1175.33,37.78770878,138.7942543
12/2014,3.6729,1200.62,38.60080055,141.7768804
01/2015,3.673,1250.75,40.21251628,147.7005723
02/2015,3.6727,1227.08,39.45150867,144.8935559
03/2015,3.6728,1178.63,37.89380616,139.1763713
04/2015,3.6727,1198.93,38.54646583,141.5696051
05/2015,3.673,1198.63,38.53682062,141.5457421
06/2015,3.6728,1181.5,37.98607874,139.51527
07/2015,3.6724,1128.31,36.2759818,133.2199156
08/2015,3.6728,1117.93,35.9422573,132.0087226
09/2015,3.6724,1124.77,36.16216824,132.8019467
10/2015,3.6725,1159.25,37.27072516,136.8767381
11/2015,3.6726,1086.44,34.92983105,128.2832975
12/2015,3.6716,1075.74,34.58581832,126.9852905
01/2016,3.6729,1097.91,35.29859984,129.6482273
02/2016,3.6726,1199.5,38.56479174,141.6330542
03/2016,3.6726,1245.14,40.03215072,147.0220767
04/2016,3.6729,1242.26,39.93955664,146.6939976
05/2016,3.6726,1260.95,40.54045365,148.8888701
06/2016,3.6726,1276.4,41.03718231,150.7131558
07/2016,3.673,1336.66,42.97458485,157.8456502
08/2016,3.6726,1340.17,43.08743389,158.2429097
09/2016,3.6726,1326.61,42.65147009,156.6417891
10/2016,3.6729,1266.55,40.72049769,149.562316
11/2016,3.6723,1238.35,39.81384732,146.2083915
12/2016,3.6724,1157.36,37.20996029,136.6498582
01/2017,3.6724,1192.1,38.3268764,140.7516209
02/2017,3.672,1234.2,39.68042182,145.7065089
03/2017,3.6724,1231.42,39.59104281,145.3941456
04/2017,3.6724,1266.88,40.73110743,149.5809189
05/2017,3.6727,1246.04,40.06108637,147.1323519
06/2017,3.6726,1260.26,40.51826965,148.8073971
07/2017,3.6726,1236.84,39.76529973,146.0420398
08/2017,3.6724,1283.04,41.25066311,151.4889352
09/2017,3.6721,1314.07,42.24830003,155.1399825
10/2017,3.6722,1279.51,41.13717106,151.0639196
11/2017,3.6724,1281.9,41.21401128,151.354335
12/2017,3.6726,1264.45,40.65298118,149.3021387
01/2018,3.6721,1331.3,42.80225698,157.1741679
02/2018,3.6724,1330.73,42.78393107,157.1197085
03/2018,3.6724,1324.66,42.58877618,156.4030217
04/2018,3.6728,1334.76,42.91349848,157.6126972
05/2018,3.6728,1303.45,41.90685936,153.915513
06/2018,3.6728,1281.57,41.20340155,151.3318532
07/2018,3.6728,1237.71,39.79327085,146.1527252
08/2018,3.6728,1201.71,38.63584484,141.9017309
09/2018,3.6728,1198.39,38.52910444,141.5096948
10/2018,3.6725,1215.39,39.07566673,143.505386
11/2018,3.6728,1220.65,39.24477953,144.1382262
12/2018,3.6728,1250.4,40.20126352,147.6512007
01/2019,3.6727,1291.75,41.5306959,152.5297868
02/2019,3.6727,1320.07,42.44120437,155.8738113
03/2019,3.6726,1300.9,41.82487501,153.606036
04/2019,3.6728,1285.91,41.34293568,151.8443342
05/2019,3.6728,1283.7,41.27188259,151.5833704
06/2019,3.6728,1359.04,43.69411803,160.4797567
07/2019,3.6728,1412.89,45.42543444,166.8385356
08/2019,3.6728,1500.41,48.23926568,177.173175
09/2019,3.6727,1510.58,48.56623853,178.3692242
10/2019,3.6726,1494.81,48.05922163,176.5022974
11/2019,3.6728,1470.79,47.28696127,173.6755514
12/2019,3.6728,1479.13,47.5550983,174.660365
01/2020,3.6726,1560.67,50.17666822,184.2788317
02/2020,3.6728,1597.1,51.34791904,188.5906371
03/2020,3.6728,1591.93,51.18169981,187.9801471
04/2020,3.6727,1683.17,54.11513174,198.7486443
05/2020,3.6728,1715.91,55.1677464,202.620099
06/2020,3.6728,1732.22,55.69212468,204.5460355
07/2020,3.6728,1846.51,59.36663077,218.0417615
08/2020,3.6728,1968.63,63.29287701,232.4620787
09/2020,3.6728,1921.92,61.79111676,226.9464136
10/2020,3.6728,1900.27,61.09505361,224.3899129
11/2020,3.6728,1866.3,60.00289357,220.3786275
12/2020,3.6728,1858.42,59.74954587,219.4481321
01/2021,3.6728,1866.98,60.02475606,220.458924
02/2021,3.6728,1808.17,58.13397206,213.5144526
03/2021,3.6728,1718.23,55.24233607,202.8940519
04/2021,3.6726,1760.04,56.58655778,207.8197921
05/2021,3.6724,1850.26,59.48719597,218.4607785
06/2021,3.6728,1834.57,58.98275114,216.6318484
07/2021,3.6726,1807.84,58.12336232,213.4638605
08/2021,3.6728,1785.28,57.39804202,210.8115287
09/2021,3.6729,1775.14,57.07203369,209.6198726
10/2021,3.6729,1776.85,57.12701143,209.8218003
11/2021,3.6727,1821.76,58.57090038,215.1133458
12/2021,3.6726,1790.43,57.56361824,211.4081444
01/2022,3.6726,1816.02,58.38635523,214.4297282
02/2022,3.6726,1856.3,59.68138634,219.1858595
03/2022,3.6726,1947.83,62.62414198,229.9934238
04/2022,3.6726,1936.86,62.27144855,228.6981219
05/2022,3.6726,1848.5,59.4306107,218.2648609
06/2022,3.6727,1836.57,59.04705258,216.86211
07/2022,3.6727,1732.74,55.70884306,204.6018679
08/2022,3.6727,1764.56,56.73187905,208.3591722
09/2022,3.6727,1680.78,54.03829151,198.4664332
10/2022,3.6727,1664.45,53.51327021,196.5381875
11/2022,3.6727,1725.07,55.46224701,203.6961946
12/2022,3.6721,1797.55,57.79253139,212.2199545
01/2023,3.6727,1897.71,61.01274776,224.0815187
02/2023,3.6727,1854.54,59.62480107,218.9840069
03/2023,3.6724,1912.73,61.49565161,225.836631
04/2023,3.6718,1999.77,64.29405051,236.0748947
05/2023,3.6724,1992.13,64.04841899,235.2114139
06/2023,3.6726,1942.9,62.46563892,229.4113055
07/2023,3.6726,1951.02,62.72670278,230.3700886
08/2023,3.6726,1918.7,61.68759143,226.5538483
09/2023,3.6726,1915.95,61.59917694,226.2291372
10/2023,3.6729,1916.25,61.60882216,226.2830429
11/2023,3.672,1984.11,63.79057019,234.2389737
12/2023,3.6723,2026.18,65.14315109,239.2251938
01/2024,3.6726,2034.04,65.39585577,240.1728199
02/2024,3.6724,2023.24,65.04862797,238.8845813
03/2024,3.6722,2158.01,69.38158085,254.7830412
04/2024,3.6724,2331.45,74.95780218,275.2750327
05/2024,3.6729,2351.13,75.5905284,277.6364517
06/2024,3.6729,2326.44,74.79672706,274.7208988
07/2024,3.6727,2398.2,77.10386291,283.1793573
08/2024,3.6726,2470.15,79.4171074,291.6672686
09/2024,3.6728,2570.55,82.64503995,303.5387027
10/2024,3.6729,2690.08,86.48801582,317.6618333
11/2024,3.6729,2651.13,85.23574517,313.0623684
12/2024,3.6726,2648.01,85.13543492,312.6683983
01/2025,3.6731,2709.69,87.11849149,319.9949311
02/2025,3.6728,2894.73,93.0676612,341.818906
03/2025,3.673,2983.25,95.91364316,352.2908113
04/2025,3.6731,3217.64,103.449451,379.9801786
05/2025,3.673,3309.49,106.4024949,390.8163638
06/2025,3.6726,3352.66,107.7904416,395.8711758
07/2025,3.6731,3340.15,107.3882361,394.4477298
08/2025,3.6727,3448,110.8556915,407.1396981
09/2025,3.6731,3858.51,124.0538846,455.6623236
10/2025,3.673,4002.28,128.676194,472.6276606
11/2025,3.6731,4230.63,136.0178115,499.6070234
12/2025,3.6728,4232.73,136.085328,499.8141927
01/2026,3.6725,4348.35,139.8025946,509.540099